Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.30,-0.51,0.90,-96.47,-12.08,5.22
0.31,-0.57,0.99,-97.79,-23.71,0.12
0.36,-0.61,1.05,-93.73,-26.84,-1.39
0.37,-0.66,1.09,-82.03,-22.87,1.27
0.38,-0.66,1.09,-74.14,-10.44,6.99
0.37,-0.66,1.08,-63.57,2.14,14.82
0.38,-0.65,1.06,-54.26,14.78,21.05
0.37,-0.63,1.06,-47.07,19.21,22.43
0.35,-0.62,1.02,-41.69,9.63,18.20
0.38,-0.64,1.05,-42.78,15.01,14.64
0.35,-0.64,1.04,-36.20,-4.34,12.78
0.31,-0.65,1.03,-21.98,-39.80,7.04
0.36,-0.60,0.99,-13.76,-49.80,4.23
0.41,-0.63,1.03,-22.18,-21.33,2.20
0.40,-0.64,1.02,-25.36,-5.83,2.53
0.40,-0.66,1.03,-16.50,-11.25,3.42
0.42,-0.63,1.00,-11.77,-11.54,5.10
0.41,-0.62,0.95,-9.21,-8.70,7.79
0.40,-0.61,0.93,-6.21,-2.96,7.11
0.40,-0.60,0.89,-4.55,1.36,4.98
0.39,-0.58,0.87,-5.07,6.08,2.46
0.36,-0.55,0.83,-5.65,7.31,1.98
0.33,-0.55,0.80,-5.85,4.09,3.57
0.32,-0.54,0.80,-4.90,-0.58,3.89
0.33,-0.53,0.79,-5.36,-7.79,1.07
0.34,-0.53,0.78,-5.62,-12.78,-1.86
0.36,-0.53,0.77,-4.75,-12.99,-4.06
0.35,-0.54,0.77,-3.36,-10.14,-4.37
0.34,-0.54,0.78,-4.61,-8.98,-2.21
0.32,-0.54,0.79,-3.36,-12.73,-1.22
0.37,-0.54,0.79,-0.85,-10.09,-2.17
0.37,-0.56,0.82,4.66,-10.12,-2.40
0.36,-0.55,0.81,6.61,-5.13,-2.15
0.35,-0.55,0.81,8.53,-4.53,-2.06
0.36,-0.53,0.79,9.45,-3.98,-3.25
0.35,-0.52,0.77,9.57,-4.46,-3.47
0.35,-0.51,0.76,8.78,-6.64,-3.40
0.35,-0.51,0.77,8.24,-4.12,-2.20
0.34,-0.51,0.76,8.23,-2.73,-0.29
0.36,-0.50,0.75,7.28,-0.46,-1.05
0.37,-0.50,0.73,6.29,0.24,-1.30
0.36,-0.50,0.74,6.20,2.79,-1.21
0.35,-0.50,0.75,6.82,4.23,0.05
0.35,-0.49,0.75,6.56,5.51,-0.18
0.33,-0.48,0.73,4.79,5.91,-0.44
0.34,-0.48,0.72,2.99,5.50,-0.06
0.35,-0.48,0.72,2.50,6.66,-0.20
0.33,-0.49,0.73,3.98,5.76,-0.56
0.34,-0.47,0.72,-1.15,9.89,-0.79
0.34,-0.47,0.72,-1.11,2.87,-1.50
0.33,-0.47,0.72,-2.75,4.85,-1.11
0.33,-0.48,0.73,-1.34,2.58,-0.84
0.32,-0.47,0.72,-2.79,2.35,-0.61
0.34,-0.47,0.73,-4.64,0.52,-1.62
0.35,-0.47,0.73,-6.56,-0.72,-2.21
0.34,-0.48,0.75,-7.05,0.47,-1.22
0.34,-0.50,0.77,-7.54,2.23,0.89
0.34,-0.51,0.78,-5.94,1.45,1.71
0.35,-0.52,0.78,-3.80,0.84,0.78
0.35,-0.49,0.75,-3.82,0.40,-0.14
0.35,-0.49,0.73,-5.16,0.79,-0.81
0.36,-0.49,0.75,-5.91,1.30,-0.58
0.34,-0.50,0.76,-5.53,0.11,-1.40
0.35,-0.50,0.77,-4.50,-0.18,-2.23
0.34,-0.50,0.75,-3.73,0.21,-2.00
0.32,-0.50,0.76,-2.93,1.54,-0.95
0.33,-0.51,0.78,-1.33,1.95,0.79
0.31,-0.51,0.78,-0.20,1.22,1.18
0.34,-0.51,0.78,0.23,0.18,1.63
0.35,-0.50,0.78,0.35,1.31,1.83
0.34,-0.49,0.76,-0.23,2.53,1.65
0.33,-0.48,0.74,-0.66,1.59,1.69
0.33,-0.48,0.74,-1.94,1.04,1.60
0.34,-0.47,0.74,-3.37,0.21,0.85
0.34,-0.48,0.73,-3.77,-0.76,-0.37
0.32,-0.49,0.74,-3.25,-1.53,-0.20
0.32,-0.49,0.74,-3.19,-0.55,1.18
0.33,-0.48,0.74,-4.23,-1.68,1.31
0.33,-0.48,0.75,-5.04,-3.04,0.29
0.35,-0.49,0.75,-4.90,-3.60,-0.67
0.34,-0.50,0.78,-2.46,-3.16,-1.27
0.34,-0.49,0.77,-2.89,-1.86,-0.20
0.34,-0.48,0.77,-4.18,-2.29,-0.29
0.35,-0.50,0.77,-4.14,0.03,-0.02
0.34,-0.49,0.78,-3.11,1.21,1.05
0.34,-0.51,0.78,-1.65,2.12,0.58
0.32,-0.51,0.77,-0.29,1.71,0.17
0.32,-0.51,0.78,-0.06,2.02,0.61
0.33,-0.50,0.78,0.09,3.16,1.11
0.32,-0.50,0.79,0.72,3.53,1.27
0.32,-0.50,0.79,1.48,1.68,0.92
0.32,-0.51,0.83,3.79,-0.20,0.14
0.33,-0.51,0.84,6.72,0.81,-0.15
0.33,-0.51,0.83,8.55,2.79,0.89
0.33,-0.50,0.84,9.15,3.88,1.62
0.33,-0.50,0.84,9.37,3.45,1.69
0.34,-0.51,0.86,11.73,1.65,1.11
0.33,-0.51,0.89,15.02,0.53,0.41
0.35,-0.53,0.96,17.83,0.52,0.60
0.32,-0.53,1.01,22.24,-4.05,-0.09
0.31,-0.57,1.10,28.38,-16.53,-3.21
0.34,-0.60,1.19,33.68,-20.41,-6.53
0.37,-0.65,1.28,45.80,-20.58,-7.24
0.40,-0.66,1.35,64.32,-11.39,-6.49
0.41,-0.68,1.37,80.64,1.30,-5.28
0.39,-0.64,1.34,88.99,8.78,-1.40
0.38,-0.62,1.29,95.91,11.74,0.24
0.38,-0.61,1.27,101.37,11.94,2.17
0.37,-0.57,1.23,109.34,11.10,1.15
0.35,-0.56,1.19,112.66,12.49,1.25
0.35,-0.52,1.13,118.00,13.48,2.89
0.32,-0.49,1.09,123.83,13.07,3.54
0.31,-0.45,1.05,130.84,9.51,4.41
0.30,-0.43,1.03,135.94,3.10,3.85
0.29,-0.40,0.99,136.37,-3.50,2.38
0.31,-0.35,0.98,137.34,-14.52,-0.81
0.32,-0.32,0.95,136.05,-22.81,-3.21
0.32,-0.30,0.96,138.46,-33.28,-6.84
0.35,-0.29,0.98,137.31,-40.58,-11.24
0.38,-0.28,1.01,139.34,-41.53,-13.68
0.40,-0.30,1.04,144.76,-45.82,-15.80
0.42,-0.30,1.08,152.50,-36.79,-19.05
0.41,-0.27,1.01,160.47,-30.14,-20.64
0.44,-0.25,1.04,168.34,-18.56,-20.02
0.38,-0.18,0.93,172.69,-10.60,-15.11
0.35,-0.13,0.88,175.62,2.24,-14.49
0.36,-0.12,0.85,170.20,-2.53,-14.43
0.36,-0.08,0.82,169.89,-10.60,-16.78
0.37,-0.06,0.82,162.56,-7.98,-20.95
0.39,-0.01,0.82,160.12,-13.63,-23.16
0.42,0.01,0.82,148.96,-1.33,-23.19
0.41,0.03,0.76,154.27,-7.19,-24.23
0.43,0.04,0.76,150.18,4.53,-25.10
0.44,0.08,0.76,151.66,12.99,-24.27
0.47,0.11,0.75,146.35,19.24,-22.17
0.42,0.17,0.72,134.06,20.34,-23.50
0.38,0.20,0.66,117.51,24.52,-23.21
0.38,0.23,0.64,105.57,18.73,-21.85
0.34,0.21,0.63,99.19,15.59,-23.88
0.34,0.25,0.65,91.62,15.21,-21.33
0.34,0.29,0.66,83.76,15.01,-24.27
0.33,0.22,0.64,94.08,20.35,-21.31
0.28,0.25,0.69,107.27,20.41,-18.76
0.25,0.26,0.72,100.79,20.32,-18.60
0.24,0.26,0.70,107.74,23.86,-14.72
0.22,0.25,0.72,105.21,21.69,-12.87
0.22,0.28,0.72,92.44,18.24,-14.23
0.19,0.28,0.69,93.80,18.55,-11.63
0.21,0.32,0.62,86.00,15.15,-7.71
0.20,0.36,0.68,85.56,9.98,-6.43
0.19,0.34,0.65,83.34,0.90,-9.47
0.22,0.34,0.62,91.74,-2.61,-7.21
0.23,0.33,0.63,91.82,-6.14,-9.01
0.24,0.36,0.63,91.19,-8.31,-9.24
0.22,0.39,0.64,87.97,-7.76,-11.80
0.24,0.39,0.61,95.83,-10.56,-10.26
0.23,0.43,0.60,92.63,-17.48,-13.88
0.27,0.46,0.55,100.27,-16.63,-12.76
0.28,0.48,0.56,94.84,-18.53,-16.37
0.24,0.52,0.54,92.67,-21.34,-20.73
0.28,0.54,0.47,93.92,-21.08,-17.88
0.24,0.55,0.46,89.19,-23.76,-21.83
0.26,0.55,0.45,90.60,-22.95,-16.81
0.29,0.57,0.47,89.24,-21.47,-16.50
0.28,0.60,0.46,88.12,-23.92,-17.85
0.29,0.58,0.40,89.79,-22.43,-17.50
0.32,0.63,0.43,87.88,-18.21,-17.53
0.30,0.61,0.37,89.88,-17.25,-19.48
0.30,0.68,0.30,86.37,-11.02,-15.82
0.30,0.70,0.35,83.71,-7.68,-15.57
0.32,0.73,0.31,79.40,-5.80,-12.08
0.32,0.75,0.29,74.49,-5.40,-10.75
0.32,0.77,0.27,69.59,-6.49,-9.89
0.33,0.80,0.26,67.48,-8.76,-12.35
0.42,0.75,0.05,38.85,-26.29,-20.78
0.34,1.20,0.51,62.09,-36.47,-18.00
0.34,0.81,0.25,74.67,-32.78,-17.02
0.38,0.80,0.23,76.24,6.29,-2.44
0.26,0.71,0.14,74.73,13.10,-4.02
0.29,0.87,0.17,76.98,5.34,-2.38
0.25,0.96,0.27,58.05,-0.05,-5.44
0.35,0.99,0.16,64.75,11.86,-0.41
0.25,0.91,0.12,64.02,-0.47,-9.95
0.32,1.01,0.17,53.47,-0.47,-9.54
0.25,0.99,0.16,48.50,-9.13,-12.64
0.26,0.96,0.16,40.29,-6.24,-8.21
0.26,0.96,0.16,33.63,-0.72,-2.81
0.26,1.01,0.16,32.12,-0.58,-1.92
0.25,1.01,0.16,30.21,-3.25,-3.62
0.21,0.94,0.11,30.50,-3.07,-5.33
0.20,0.98,0.14,22.92,-6.70,-5.92
0.23,0.99,0.14,16.26,-9.54,-8.03
0.21,0.94,0.12,15.69,-13.45,-8.89
0.21,0.96,0.16,10.75,-14.58,-7.98
0.22,0.92,0.11,11.44,-15.48,-7.39
0.18,0.98,0.23,5.92,-17.48,-7.25
0.23,0.97,0.19,7.45,-23.01,-8.05
0.26,0.90,0.18,5.82,-13.94,-1.73
0.26,0.98,0.22,0.03,-6.89,4.12
0.26,0.98,0.20,3.21,-7.47,3.34
