Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.16,-0.43,0.86,-13.60,8.90,-3.57
0.16,-0.43,0.85,-11.21,4.79,-0.02
0.18,-0.42,0.85,-7.86,5.33,0.47
0.17,-0.42,0.87,-2.98,6.64,0.27
0.16,-0.41,0.84,-4.35,10.81,-1.50
0.15,-0.41,0.86,-4.43,6.53,-2.61
0.14,-0.42,0.87,0.84,-0.47,-3.28
0.15,-0.41,0.86,4.50,-2.66,-3.33
0.15,-0.41,0.85,2.96,1.01,-3.15
0.14,-0.40,0.84,-1.25,5.77,-2.03
0.12,-0.41,0.87,-2.03,2.90,-0.27
0.14,-0.41,0.88,-2.37,1.48,-0.53
0.15,-0.42,0.88,-0.31,-2.20,-0.99
0.13,-0.42,0.90,1.18,-2.61,-0.92
0.12,-0.41,0.91,3.39,-3.45,-1.82
0.09,-0.42,0.92,7.47,-6.44,-1.34
0.10,-0.40,0.90,10.20,-11.65,0.66
0.12,-0.40,0.90,11.79,-14.61,2.08
0.13,-0.39,0.91,12.31,-14.09,2.66
0.15,-0.38,0.91,12.56,-13.91,3.33
0.16,-0.38,0.91,15.16,-13.94,3.27
0.16,-0.38,0.91,16.81,-14.05,4.32
0.18,-0.37,0.88,16.12,-14.79,4.63
0.19,-0.36,0.87,15.60,-15.62,5.39
0.18,-0.36,0.86,14.67,-16.38,3.85
0.19,-0.35,0.84,13.53,-18.00,2.72
0.18,-0.36,0.86,12.96,-20.49,3.19
0.18,-0.37,0.85,14.89,-21.47,5.45
0.19,-0.36,0.87,16.64,-21.73,6.79
0.21,-0.35,0.85,13.63,-16.21,5.45
0.19,-0.35,0.83,11.10,-14.50,4.79
0.20,-0.35,0.84,11.30,-15.05,4.18
0.20,-0.35,0.87,13.18,-15.83,4.61
0.22,-0.34,0.85,13.94,-13.13,3.76
0.23,-0.33,0.83,10.50,-8.96,1.88
0.19,-0.34,0.81,7.60,-5.95,-0.46
0.19,-0.34,0.81,5.63,-7.21,2.46
0.21,-0.34,0.81,4.92,-6.52,4.73
0.23,-0.33,0.82,0.53,-2.15,3.47
0.22,-0.32,0.82,-1.88,-1.21,1.53
0.22,-0.33,0.83,-4.66,-2.05,-0.69
0.21,-0.33,0.83,-6.78,-1.82,-2.75
0.20,-0.34,0.86,-4.64,-1.68,-1.51
0.21,-0.34,0.89,-4.31,1.16,-1.04
0.21,-0.35,0.89,-3.79,6.66,-2.24
0.20,-0.34,0.86,-5.19,8.89,-4.26
0.20,-0.34,0.85,-6.78,9.33,-6.09
0.19,-0.34,0.87,-5.15,9.11,-5.50
0.19,-0.36,0.92,0.41,7.86,-2.49
0.18,-0.36,0.92,5.16,10.64,-1.05
0.18,-0.35,0.92,5.83,15.04,-1.27
0.20,-0.34,0.90,4.63,20.31,-2.95
0.21,-0.34,0.86,3.57,23.77,-5.01
0.17,-0.32,0.86,2.12,20.79,-4.73
0.17,-0.32,0.83,-0.52,20.35,-2.85
0.16,-0.33,0.86,-2.56,15.31,-1.69
0.16,-0.33,0.88,-2.11,11.21,-1.50
0.18,-0.34,0.89,-2.58,9.21,-2.98
0.17,-0.34,0.91,-3.16,10.18,-5.54
0.17,-0.35,0.92,-1.92,9.80,-6.34
0.16,-0.35,0.91,-0.58,9.98,-7.45
0.16,-0.34,0.92,1.45,10.56,-6.72
0.14,-0.35,0.91,3.10,9.30,-5.45
0.14,-0.34,0.87,3.95,7.68,-2.76
0.15,-0.33,0.84,3.66,6.08,-1.88
0.15,-0.32,0.84,3.07,5.15,-0.18
0.15,-0.31,0.83,2.75,4.72,1.60
0.16,-0.30,0.81,1.85,4.02,2.87
0.17,-0.30,0.81,0.41,1.47,2.61
0.16,-0.29,0.81,-0.40,-3.01,1.11
0.17,-0.30,0.82,-1.13,-8.79,0.20
0.16,-0.30,0.84,-1.80,-11.76,-0.53
0.17,-0.31,0.84,-3.59,-10.50,-1.16
0.16,-0.32,0.85,-2.47,-8.56,0.63
0.15,-0.31,0.85,0.00,-9.91,2.64
0.18,-0.31,0.84,-0.52,-9.66,2.95
0.17,-0.31,0.84,-1.22,-10.27,2.99
0.19,-0.31,0.84,-2.82,-8.67,2.09
0.18,-0.32,0.83,-3.18,-9.08,1.74
